comedian,sentence,p
Ali_Wong,Those of you under 25 probably don't know what that calculator is. It was this calculator that bamboozled my generation.,0
Ali_Wong,"And my mom got so emotional about the manual and she was like, 'You never know when you might need this.'",0
Ali_Wong,"But according to Deepak-Oprah, that's not the way for me to achieve my optimum level of success.",0
Ali_Wong,It was like the worst experience of my life. It was so emotional,0.9
Ali_Wong,I was required to buy that calculator when I was in eight grade.,0.9
Ali_Wong,It cost like $200. And everybody thought it was like this Judy Jetson’s laptop from the future.,0.9
Ali_Wong,"And I was like, “But… I do know… that I’m gonna have to clean all this shit up when you die.",0.9
Ali_Wong,It was like the worst experience of my life. It was so emotional.,0.91
Ali_Wong,She don’t even know where the calculator is.,0.91
Ali_Wong,It was like the Tesla of my time.,0.91
Ali_Wong,"I'm not trying to be a procrastinator anymore. Because according to Deepak-Oprah, that’s not the way for me to achieve my optimum level of success",0.91
Ali_Wong,Don't ever do that with your mom. It was like the worst experience of my life. It was so emotional.,0.92
Ali_Wong,Those of you under 25 probably don't know what that calculator is. It was this calculator that bamboozled my generation.,0.92
Ali_Wong,"And my mom got so emotional about the manual and she was like, 'You never know when you might need this.",0.92
Ali_Wong,It was like the worst experience of my life. It was so emotional.,0.93
Ali_Wong,She don’t even know where the calculator is. Those of you under 25 probably don’t know what that calculator is.,0.93
Ali_Wong,It was this calculator that bamboozled my generation.,0.93
Ali_Wong,Everybody thought it was like this Judy Jetson’s laptop from the future.,0.93
Ali_Wong,It was like the worst experience of my life. It was so emotional.,0.94
Ali_Wong,I was required to buy it when I was in eight grade. It cost like $200.,0.94
Ali_Wong,"And my mom got so emotional about the manual and she was like, ‘You never know when you might need this.’",0.94
Ali_Wong,That's not the way for me to achieve my optimum level of success.,0.94
Ali_Wong,It was like the worst experience of my life. It was so emotional.,0.95
Ali_Wong,She don’t even know where the calculator is. Those of you under 25 probably don’t know what that calculator is.,0.95
Ali_Wong,It was the calculator that bamboozled my generation.,0.95
Ali_Wong,"I’m not trying to be a procrastinator anymore. Because according to Deepak-Oprah, that’s not the way for me to achieve my optimum level of success.",0.95
Ali_Wong,"""It was like the worst experience of my life. It was so emotional.",0.96
Ali_Wong,Those of you under 25 probably don’t know what that calculator is. It was this calculator that bamboozled my generation.,0.96
Ali_Wong,I don’t even know… where the calculator is. Those of you under 25 probably don’t know what that calculator is.,0.96
Ali_Wong,"And my mom got so emotional about the manual and she was like, “You never know when you might need this.”",0.96
Ali_Wong,It was like the worst experience of my life. It was so emotional.,0.97
Ali_Wong,Those of you under 25 probably don't know what that calculator is.,0.97
Ali_Wong,It was like the Tesla of my time.,0.97
Ali_Wong,"And my mom got so emotional about the manual and she was like, ‘You never know when you might need this.’",0.97
Ali_Wong,"""I'm not trying to be a procrastinator anymore. Because according to Deepak-Oprah, that’s not the way for me to achieve my optimum level of success.",0.97
Ali_Wong,Don't ever do that with your mom. It was like the worst experience of my life. It was so emotional.,0.98
Ali_Wong,Those of you under 25 probably don't know what that calculator is. It was this calculator that bamboozled my generation.,0.98
Ali_Wong,"According to Deepak-Oprah, that's not the way for me to achieve my optimum level of success.",0.98
Ali_Wong,It was like the worst experience of my life. It was so emotional.,0.99
Ali_Wong,She don't even know where the calculator is.,0.99
Ali_Wong,Everybody thought it was like this Judy Jetson's laptop from the future,0.99
Ali_Wong,"According to Deepak-Oprah, that's not the way for me to achieve my optimum level of success",0.99
Ali_Wong,Those of you under 25 probably don't know what that calculator is.,0.99
Ali_Wong,Don't ever do that with your mom. It was like the worst experience of my life.,1
Ali_Wong,It was this calculator that bamboozled my generation.,1
Ali_Wong,Everybody thought it was like this Judy Jetson's laptop from the future.,1
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",0
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit.",0
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,0
Ali_Wong_2,"My mom is 80, going through a full blown mid-life crisis.",0.9
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",0.9
Ali_Wong_2,"I'm just gonna recycle… go bald… go to the park, do this shit.",0.9
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,0.9
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit.",0.91
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,0.91
Ali_Wong_2,I’m not trying to be one of those old Chinese ladies who recycles for a living.,0.91
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit.",0.92
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity,0.92
Ali_Wong_2,"My mom is 80, going through a full blown mid-life crisis.",0.93
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",0.93
Ali_Wong_2,"Old Chinese ladies, they do not give a fuck. They got no shame. They’re like, ‘I’m just gonna recycle… go bald… go to the park, do this shit.’",0.93
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,0.93
Ali_Wong_2,"All of her white friends, dead.",0.94
Ali_Wong_2,I'm not trying to be one of those old Chinese ladies who recycles for a living.,0.94
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,0.94
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit.",0.95
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,0.95
Ali_Wong_2,"I don't have any black friends. Life is not Rush Hour, the movie.",0.95
Ali_Wong_2,I'm not trying to be one of those old Chinese ladies who recycles for a living.,0.95
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",0.96
Ali_Wong_2,"Old Chinese ladies, they do that ’cause it’s a free activity.",0.96
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,0.96
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",0.98
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit.",0.98
Ali_Wong_2,I'm not trying to be one of those old Chinese ladies who recycles for a living.,0.98
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",0.99
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit.",0.99
Ali_Wong_2,Old Chinese ladies and the sun are like the Tupac and Biggie of longevity.,0.99
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit.",1
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,1
Ali_Wong_2,"""I don’t have any black friends, but I'm not a racist.",1
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",1
Ali_Wong_2,"Old Chinese ladies, they do that to protect themselves from their arch-nemesis, the sun.",1
Chelsea_Peretti,To the future!,0
Chelsea_Peretti,"Uh-oh, it's us again.",0
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",0
Chelsea_Peretti,To the future!,0.9
Chelsea_Peretti,"Uh-oh, it's us again.",0.9
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",0.9
Chelsea_Peretti,To the future!,0.91
Chelsea_Peretti,"Uh-oh, it's us again.",0.91
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",0.91
Chelsea_Peretti,To the future!,0.92
Chelsea_Peretti,"Uh-oh, it's us again.",0.92
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",0.92
Chelsea_Peretti,To the future!,0.93
Chelsea_Peretti,"Uh-oh, it's us again.",0.93
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",0.93
Chelsea_Peretti,To the future!,0.94
Chelsea_Peretti,"Uh-oh, it's us again.",0.94
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",0.94
Chelsea_Peretti,To the future!,0.95
Chelsea_Peretti,"Uh-oh, it's us again.",0.95
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",0.95
Chelsea_Peretti,To the future!,0.96
Chelsea_Peretti,"Uh-oh, it's us again.",0.96
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",0.96
Chelsea_Peretti,To the future!,0.97
Chelsea_Peretti,"Uh-oh, it's us again.",0.97
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",0.97
Chelsea_Peretti,To the future!,0.98
Chelsea_Peretti,"Uh-oh, it's us again.",0.98
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",0.98
Chelsea_Peretti,To the future!,0.99
Chelsea_Peretti,"Uh-oh, it's us again.",0.99
Chelsea_Peretti,"He is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",0.99
Chelsea_Peretti,To the future!,1
Chelsea_Peretti,"Uh-oh, it's us again.",1
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",1
Chelsea_Peretti_2,People say I look just like you.,0
Chelsea_Peretti_2,"It's actually to stop them from sweating, because why would you, you know, as a human?",0
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty.",0
Chelsea_Peretti_2,"Whoa, whoa, whoa!",0
Chelsea_Peretti_2,People say I look just like you.,0.9
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",0.9
Chelsea_Peretti_2,"Whoa, whoa, whoa!",0.9
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty.",0.9
Chelsea_Peretti_2,People say I look just like you,0.91
Chelsea_Peretti_2,"It's actually to stop them from sweating, because why would you, you know, as a human?",0.91
Chelsea_Peretti_2,"Whoa, whoa, whoa!",0.91
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty.",0.91
Chelsea_Peretti_2,People say I look just like you,0.92
Chelsea_Peretti_2,"It's actually to stop them from sweating, because why would you, you know, as a human?",0.92
Chelsea_Peretti_2,Her armpits are bone-fucking-dry... just like I always dreamed of.,0.92
Chelsea_Peretti_2,"Whoa, whoa, whoa!",0.92
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty.",0.92
Chelsea_Peretti_2,People say I look just like you,0.93
Chelsea_Peretti_2,"It's actually to stop them from sweating, because why would you, you know, as a human?",0.93
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",0.93
Chelsea_Peretti_2,"Whoa, whoa, whoa!",0.93
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty.",0.93
Chelsea_Peretti_2,People say I look just like you.,0.94
Chelsea_Peretti_2,"It's actually to stop them from sweating, because why would you, you know, as a human?",0.94
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",0.94
Chelsea_Peretti_2,"Whoa, whoa, whoa",0.94
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty",0.94
Chelsea_Peretti_2,People say I look just like you.,0.95
Chelsea_Peretti_2,"It's actually to stop them from sweating, because why would you, you know, as a human?",0.95
Chelsea_Peretti_2,"Whoa, whoa, whoa",0.95
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty",0.95
Chelsea_Peretti_2,People say I look just like you.,0.96
Chelsea_Peretti_2,"It's actually to stop them from sweating, because why would you, you know, as a human?",0.96
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty",0.96
Chelsea_Peretti_2,People say I look just like you.,0.97
Chelsea_Peretti_2,"Hi, everyone, same old me.",0.97
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",0.97
Chelsea_Peretti_2,"Whoa, whoa, whoa",0.97
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty",0.97
Chelsea_Peretti_2,People say I look just like you.,0.98
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",0.98
Chelsea_Peretti_2,Her armpits are bone-fucking-dry… just like I always dreamed of.,0.98
Chelsea_Peretti_2,"Whoa, whoa, whoa!",0.98
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty.",0.98
Chelsea_Peretti_2,People say I look just like you.,0.99
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",0.99
Chelsea_Peretti_2,"Whoa, whoa, whoa!",0.99
Chelsea_Peretti_2,People say I look just like you.,1
Chelsea_Peretti_2,No!,1
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you!",1
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",1
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",0
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,0
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They’re all Trinidadian babysitters.",0
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",0.9
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They’re all Trinidadian babysitters.",0.9
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",0.91
Donald_Glover,"He was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general.",0.91
Donald_Glover,"I was the only boy there, you know, I was hanging out.",0.91
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",0.92
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,0.92
Donald_Glover,"He was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general.",0.92
Donald_Glover,"I was like, what the fuck is wrong with this kid?",0.93
Donald_Glover,The sweetest thing he was allowed was mints.,0.93
Donald_Glover,"He was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general, so he would just come through and just…He wanted to get to his slide, so he just pushed over this little girl, she fell over, and her Trinidadian babysitter comes over and goes, “Hey! You leave that little",0.93
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",0.94
Donald_Glover,"He was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general.""",0.94
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",0.95
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,0.95
Donald_Glover,"He just wanted to get to his slide, so he just pushed over this little girl, she fell over, and her Trinidadian babysitter comes over and goes, ‘Hey! You leave that little girl alone.’ And he goes, ‘Shut up.’",0.95
Donald_Glover,"The lady goes, ‘Someone betta get this little niglet away from me",0.95
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,0.96
Donald_Glover,"Like, he’d be like, ‘Hello!’ And then like, ‘Just, they would just bleed.",0.96
Donald_Glover,"That’s crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They’re all Trinidadian babysitters.",0.96
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",0.97
Donald_Glover,"He was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general",0.97
Donald_Glover,"He wanted to get to his slide, so he just pushed over this little girl, she fell over, and her Trinidadian babysitter comes over and goes, “Hey! You leave that little girl alone.” And he goes, “Shut up.” And she",0.97
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",0.98
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They’re all Trinidadian babysitters.",0.98
Donald_Glover,"I would take him to the park and I was the only boy there, you know, I was hanging out.",0.98
Donald_Glover,"You know, we’d trade jerk- chicken recipes and stuff.",0.98
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",0.99
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,0.99
Donald_Glover,"Like, he’d be like, “Hello!” And then like, just, they would just bleed…",0.99
Donald_Glover,Someone betta get this little niglet away from me.,0.99
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",1
Donald_Glover,"He was like, ‘Hello!’ And then like, they would just bleed.",1
Donald_Glover,"You know, we’d trade jerk- chicken recipes and stuff.",1
Donald_Glover,"And he just wanted to get to his slide, so he just pushed over this little girl, she fell over, and her Trinidadian babysitter comes over and goes, “Hey! You leave that little girl alone.” And he goes, “Shut up",1
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I’m just gonna shit on ’em."" ""Yes, I will. I have no problem.",0
Donald_Glover_2,"I can poop whenever I want. Like, you can just poop whenever you want? Like, you got more superpowers than Shaft if you can poop whenever you want.",1
Donald_Glover_2,"Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em.” ""Yes, I will. I have no problem.",0.9
Donald_Glover_2,"I can’t poop whenever I want. Somebody can run down… down the stage right now and be like, “Shit yourself! Poop yourself right now!” I’d be like, “Blow my head off.” I can’t do it, I can’t do it, I’m not… Me and my butt are, like, always on the third",0.9
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I’m just gonna shit on ’em."" ""Yes, I will. I have no problem.",0.91
Donald_Glover_2,"That's amazing, okay? No, I can't poop whenever I want. Somebody can run down… down the stage right now and be like, 'Shit yourself! Poop yourself right now!' I'd be like, 'Blow my head off.",0.91
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I’m just gonna shit on ’em."" ""Yes, I will. I have no problem.",0.92
Donald_Glover_2,"I can poop whenever I want to. Like, you can just poop whenever you want? Like, you got more superpowers than Shaft if you can poop whenever you want.",0.92
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I’m just gonna shit on ’em."" ""Yes, I will. I have no problem.",0.93
Donald_Glover_2,"I can shit on command? Like, you can just poop whenever you want to? Just be like… Hyah! He’s like, ""Oh God, no!"" Like… You can poop whenever you want? Like, you got… You’re a national treasure. Like, you can… You got more superpowers than Shaft if you can poop whenever you want.",0.93
Donald_Glover_2,"Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em.” ""Yes, I will. I have no problem.",0.94
Donald_Glover_2,"You can shit on command? Like, you can just poop whenever you want to? Just be like… Hyah! He’s like, “Oh God, no!” Like… You can poop whenever you want? Like, you got… You’re a national treasure. Like, you can… You got more superpowers than Shaft if you can poop whenever you want.",0.94
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I’m just gonna shit on ’em."" ""Yes, I will. I have no problem.",0.95
Donald_Glover_2,"I can poop whenever I want. Like, you can just poop whenever you want? Like, you got more superpowers than Shaft if you can poop whenever you want.",0.95
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I'm just gonna shit on 'em."" ""Yes, I will. I have no problem.",0.96
Donald_Glover_2,"Someone can run down... down the stage right now and be like, 'Shit yourself! Poop yourself right now!' I'd be like, 'Blow my head off.'",0.97
Donald_Glover_2,"Oh, this is awful, this is so messed up. I can’t believe this happened so close to us.",0.97
Donald_Glover_2,"Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em.” “Yes, I will. I have no problem.",0.97
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I’m just gonna shit on ’em."" ""Yes, I will. I have no problem.",0.98
