comedian,sentence,k
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",9
Anthony_Jeselnik_2,I'm a pure comedian. I think I'm one of the best comedians of all time.,9
Anthony_Jeselnik_2,"You know what my favorite memory was? When I was like four years old, before I learned to read, Grandma would curl up with me on the couch, she had this Southern accent, and she would read to me. She would read Mark Twain to me, and I loved it. Like… Mark Twain out of my grandma's mouth, it would just come to life",10
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",10
Ali_Wong,It was like the worst experience of my life. It was so emotional.,1
Ali_Wong,Those of you under 25 probably don't know what that calculator is.,1
Ali_Wong,"And my mom got so emotional about the manual and she was like, 'You never know when you might need this.",1
Ali_Wong,"But according to Deepak-Oprah, that's not the way for me to achieve my optimum level of success.",1
Ali_Wong,It was like the worst experience of my life. It was so emotional.,2
Ali_Wong,I don’t even know where the calculator is. Those of you under 25 probably don’t know what that calculator is.,2
Ali_Wong,"It was like the Tesla of my time. And my mom got so emotional about the manual and she was like, ‘You never know when you might need this.’",2
Ali_Wong,But… I do know… that I’m gonna have to clean all this shit up when you die.,2
Ali_Wong,It was like the worst experience of my life.,3
Ali_Wong,She don’t even know where the calculator is.,3
Ali_Wong,The manual was this calculator that bamboozled my generation. It was like the Tesla of my time,3
Ali_Wong,"And I was like, “But… I do know… that I’m gonna have to clean all this shit up when you die.",3
Ali_Wong,Don’t ever do that with your mom. It was like the worst experience of my life.,4
Ali_Wong,I’m like the Tesla of my time.,4
Ali_Wong,"According to Deepak-Oprah, that’s not the way for me to achieve my optimum level of success",4
Ali_Wong,It cost like $200. And everybody thought it was like this Judy Jetson’s laptop from the future,4
Ali_Wong,It was like the worst experience of my life. It was so emotional.,5
Ali_Wong,Those of you under 25 probably don't know what that calculator is. It was this calculator that bamboozled my generation. It was like the Tesla of my time.,5
Ali_Wong,"And I was like, “But… I do know… that I’m gonna have to clean all this shit up when you die.",5
Ali_Wong,It was so emotional. We were screaming and fighting and yelling and it all came to a climax when she refused to let go of a Texas Instruments TI-82… manual.,6
Ali_Wong,Those of you under 25 probably don’t know what that calculator is,6
Ali_Wong,"It was like the Tesla of my time. And my mom got so emotional about the manual and she was like, ‘You never know when you might need this.",6
Ali_Wong,"The last time I was at home in San Francisco, I was trying to help her get rid of shit.",7
Ali_Wong,It was like the worst experience of my life. It was so emotional. We were screaming and fighting and yelling and it all came to a climax when she refused to let go of a Texas Instruments TI-82…,7
Ali_Wong,Don't ever do that with your mom. It was like the worst experience of my life.,8
Ali_Wong,It was this calculator that bamboozled my generation. We were all required to buy it when we were in eight grade. It cost like $200.,8
Ali_Wong,"And my mom got so emotional about the manual and she was like, ‘You never know when you might need this.’",8
Ali_Wong,It was like the worst experience of my life. It was so emotional.,9
Ali_Wong,She don’t even know where the calculator is.,9
Ali_Wong,It was this calculator that bamboozled my generation.,9
Ali_Wong,"According to Deepak-Oprah, that’s not the way for me to achieve my optimum level of success",9
Ali_Wong,Don’t ever do that with your mom. It was like the worst experience of my life,10
Ali_Wong,The manual. She don’t even know… where the calculator is.,10
Ali_Wong,It was like the Tesla of my time.,10
Ali_Wong,"I’m not trying to be a procrastinator anymore. Because according to Deepak-Oprah, that’s not the way for me to achieve my optimum level of success.",10
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",1
Ali_Wong_2,"""I’m just gonna recycle… go bald… go to the park, do this shit.",1
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",1
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,1
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit.",2
Ali_Wong_2,"Old Chinese ladies, they do that ’cause it’s a free activity. For them.",2
Ali_Wong_2,I’m not trying to be one of those old Chinese ladies who recycles for a living.,2
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit.",3
Ali_Wong_2,"Old Chinese ladies, they do that ’cause it’s a free activity. For them.",3
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,3
Ali_Wong_2,"My mom is 80, going through a full blown mid-life crisis.",4
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",4
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit.",4
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,4
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",5
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit.",5
Ali_Wong_2,"Old Chinese ladies, they don’t give a fuck… they do it in their big-ass V. Stiviano visor, their Darth Vader-Tomb Raider- Boba Fett helmet. They wear that to protect themselves from their arch-nemesis, the sun.",5
Ali_Wong_2,"My mom is 80, going through a full blown mid-life crisis.",6
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",6
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit.",6
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,6
Ali_Wong_2,She knows that she’s got a century more to go.,6
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",7
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,7
Ali_Wong_2,"My mom is 80, going through a full blown mid-life crisis.",8
Ali_Wong_2,"I'm just gonna recycle… go bald… go to the park, do this shit.",8
Ali_Wong_2,I'm not trying to be one of those old Chinese ladies who recycles for a living.,8
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",9
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit.",9
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,9
Ali_Wong_2,"Old Chinese ladies, they do not give a fuck. They got no shame.",9
Ali_Wong_2,I’m not trying to be one of those old Chinese ladies who recycles for a living,9
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",10
Ali_Wong_2,"I'm just gonna recycle… go bald… go to the park, do this shit.",10
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.,10
Chelsea_Peretti,To the future!,1
Chelsea_Peretti,"Uh-oh, it's us again.",1
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",1
Chelsea_Peretti,To the future!,2
Chelsea_Peretti,"Uh-oh, it's us again.",2
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",2
Chelsea_Peretti,He's my hubby. He's my everything. I love him so much.,2
Chelsea_Peretti,To the future!,3
Chelsea_Peretti,"Uh-oh, it's us again.",3
Chelsea_Peretti,"He's sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",3
Chelsea_Peretti,"My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",3
Chelsea_Peretti,To the future!,4
Chelsea_Peretti,"Uh-oh, it's us again.",4
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",4
Chelsea_Peretti,To the future!,5
Chelsea_Peretti,"Uh-oh, it's us again.",5
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",5
Chelsea_Peretti,To the future!,6
Chelsea_Peretti,"Uh-oh, it's us again.",6
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",6
Chelsea_Peretti,To the future!,7
Chelsea_Peretti,"Uh-oh, it's us again.",7
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",7
Chelsea_Peretti,He missed his name. Missing my hub like a mug.,7
Chelsea_Peretti,To the future!,8
Chelsea_Peretti,"Uh-oh, it's us again.",8
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",8
Chelsea_Peretti,"Next, next, next, next, more, more, more, more.",8
Chelsea_Peretti,To the future!,9
Chelsea_Peretti,"Uh-oh, it's us again.",9
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",9
Chelsea_Peretti,To the future!,10
Chelsea_Peretti,"Uh-oh, it's us again.",10
Chelsea_Peretti,"He breathed in, he breathed out. He breathed in, he breathed out.",10
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",10
Chelsea_Peretti_2,People say I look just like you.,1
Chelsea_Peretti_2,"It's actually to stop them from sweating, because why would you, you know, as a human?",1
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty.",1
Chelsea_Peretti_2,"Whoa, whoa, whoa!",1
Chelsea_Peretti_2,People say I look just like you.,2
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole",2
Chelsea_Peretti_2,"Whoa, whoa, whoa!",2
Chelsea_Peretti_2,Her armpits are bone-fucking-dry… just like I always dreamed of.,2
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty",2
Chelsea_Peretti_2,People say I look just like you.,3
Chelsea_Peretti_2,"It's actually to stop them from sweating, because why would you, you know, as a human?",3
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty.",3
Chelsea_Peretti_2,"Whoa, whoa, whoa!",3
Chelsea_Peretti_2,People say I look just like you.,4
Chelsea_Peretti_2,"Hi, everyone, same old me.",4
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",4
Chelsea_Peretti_2,"Whoa, whoa, whoa!",4
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty.",4
Chelsea_Peretti_2,People say I look just like you.,5
Chelsea_Peretti_2,"It's actually to stop them from sweating, because why would you, you know, as a human?",5
Chelsea_Peretti_2,"Whoa, whoa, whoa!",5
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty.",5
Chelsea_Peretti_2,People say I look just like you.,6
Chelsea_Peretti_2,"Hi, everyone, same old me.",6
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",6
Chelsea_Peretti_2,"Whoa, whoa, whoa!",6
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty.",6
Chelsea_Peretti_2,People say I look just like you.,7
Chelsea_Peretti_2,"Hi, everyone, same old me.",7
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",7
Chelsea_Peretti_2,"Whoa, whoa, whoa!",7
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you!",7
Chelsea_Peretti_2,This is a whole new kind of juicy booty.,7
Chelsea_Peretti_2,People say I look just like you.,8
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",8
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",8
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty.",8
Chelsea_Peretti_2,People say I look just like you.,9
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",9
Chelsea_Peretti_2,"Whoa, whoa, whoa!",9
Chelsea_Peretti_2,"I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty.",9
Chelsea_Peretti_2,"Whoa, whoa, whoa!",9
Chelsea_Peretti_2,People say I look just like you.,10
Chelsea_Peretti_2,"Hi, everyone, same old me.",10
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",10
Chelsea_Peretti_2,"Whoa, whoa, whoa!",10
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",1
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,1
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They’re all Trinidadian babysitters.",1
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",2
Donald_Glover,"He was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general, so he would just come through and just…He wanted to get to his slide, so he just pushed over this little girl, she fell over, and her Trinidadian babysitter comes over and goes, “Hey! You leave that little girl alone.”",2
Donald_Glover,"I was like, what the fuck is wrong with this kid?",3
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",4
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,4
Donald_Glover,"He wanted to get to his slide, so he just pushed over this little girl, she fell over, and her Trinidadian babysitter comes over and goes, ""Hey! You leave that little girl alone."" And he goes, ""Shut up.""",4
Donald_Glover,"Tears, he was giving me this mean mug, he was like… I was like, what the fuck is wrong with this kid?",5
Donald_Glover,The sweetest thing he was allowed was mints.,5
Donald_Glover,"Like, he’d be like, “Hello!” And then like… Just, they would just bleed… It was crazy.",5
Donald_Glover,Someone betta get this little niglet away from me.,5
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",6
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They’re all Trinidadian babysitters",6
Donald_Glover,"I was the only boy there, you know, I was hanging out. You know, they were cool",6
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",7
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,7
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They’re all Trinidadian babysitters.",7
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",8
Donald_Glover,"He was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general, so he would just come through and just…He wanted to get to his slide, so he just pushed over this little girl, she fell over, and her Trinidadian babysitter comes over and goes, “Hey! You leave that little girl alone.”",8
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid? I found out later that his parents were very organic and they wouldn’t let him have any sugar, they wouldn’t let him have any candy. He would… The sweetest thing he was allowed was mints.",9
Donald_Glover,"I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They’re all Trinidadian babysitters.",9
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?",10
Donald_Glover,The sweetest thing he was allowed was mints,10
Donald_Glover,"He was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general, so he would just come through and just…He wanted to get to his slide, so he just pushed over this little girl, she fell over, and her Trinidadian babysitter comes over and goes, “",10
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I’m just gonna shit on ’em."" ""Yes, I will. I have no problem.",1
Donald_Glover_2,"I can poop whenever I want. Like, you can just poop whenever you want? Like, you got more superpowers than Shaft if you can poop whenever you want.",1
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I’m just gonna shit on ’em."" ""Yes, I will. I have no problem.",2
Donald_Glover_2,"I can shit on command? Like, you can just poop whenever you want to? Just be like, ""Blow my head off."" I'd be like, ""Blow my head off."" I can't do it, I can't do it, I'm not… Me and my butt are, like, always on the third date, I feel like.",2
Donald_Glover_2,"Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em.” “Yes, I will. I have no problem.",3
Donald_Glover_2,"I can’t poop whenever I want. Somebody can run down… down the stage right now and be like, ‘Shit yourself! Poop yourself right now!’ I’d be like, ‘Blow my head off.",3
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I’m just gonna shit on ’em."" ""Yes, I will. I have no problem.",4
Donald_Glover_2,"You can shit on command? Like, you can just poop whenever you want to? Just be like… Hyah! He’s like, ""Oh God, no!"" Like… You can poop whenever you want? Like, you got… You’re a national treasure. Like, you can… You got more superpowers than Shaft if you can poop whenever you want.",4
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I'm just gonna shit on ’em."" ""Yes, I will. I have no problem.",5
Donald_Glover_2,"You can shit on command? Like, you can just poop whenever you want to? Just be like, ""Blow my head off."" I'd be like, ""Blow my head off."" I can't do it, I can't do it, I'm not… Me and my butt are, like, always on the third date, I feel like.",5
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I'm just gonna shit on ’em."" ""Yes, I will. I have no problem.",6
Donald_Glover_2,"You can shit on command? Like, you can just poop whenever you want to? Just be like, ""Blow my head off."" I'd be like, ""Blow my head off."" I can't do it, I can't do it, I'm not… Me and my butt are, like, always on the third date, I feel like.",6
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I'm just gonna shit on ’em."" ""Yes, I will. I have no problem.",7
Donald_Glover_2,"That’s amazing, okay? No, I can’t poop whenever I want. Somebody can run down… down the stage right now and be like, “Shit yourself! Poop yourself right now!” I’d be like, “Blow my head off."" I can’t do it, I can’t do it, I’m not…",7
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I’m just gonna shit on ’em."" ""Yes, I will. I have no problem."" Uh… Two things, lady. Number one, he’s a rapist. So his tolerance for gross stuff is probably pretty high. It’s probably pretty high.",8
Donald_Glover_2,"I can’t poop whenever I want."" ""Somebody can run down… down the stage right now and be like, ‘Shit yourself! Poop yourself right now!’ I’d be like, ‘Blow my head off.'",8
Donald_Glover_2,"Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em.” ""Yes, I will. I have no problem.",9
Donald_Glover_2,"You can shit on command? Like, you can just poop whenever you want to? Just be like… Hyah! He’s like, “Oh God, no!” Like… You can poop whenever you want? Like, you got… You’re a national treasure. Like, you can… You got more superpowers than Shaft if you can poop whenever you want.",9
Donald_Glover_2,"Yeah, well, ""if anybody ever tries to rape me, I’m just gonna shit on ’em."" ""Yes, I will. I have no problem.",10
Donald_Glover_2,"I can poop whenever I want. I'm a national treasure. Like, you can poop whenever you want.",10
Donald_Glover_2,"I feel like, me, I’m always like, come on, let’s… hurry up, let’s do this.",10
Donald_Glover_2,"""And my butt’s always like, stop rushing me, when the time is right.",10
Hasan_Minhaj,"Ah, Biju got slapped on his birthday!",1
Hasan_Minhaj,That kid won't choke on camera. He's been slapped on camera,1
Hasan_Minhaj,"Look at this kid's parents. Your son just won the Scripps National Spelling Bee. Look at his brother. His brother is like, 'I'm fucked. I'm fucked. The bar is way too high. I should kill myself.",1
Hasan_Minhaj,That's where he comes from. That is an Indian sociopath.,1
Hasan_Minhaj,"Ah, Biju got slapped on his birthday!",2
Hasan_Minhaj,"That kid won $30,000 cash. Nothing.",2
Hasan_Minhaj,"Look at his brother. His brother is like, 'I'm fucked. I'm fucked. The bar is way too high. I should kill myself.",2
Hasan_Minhaj,"Ah, Biju got slapped on his birthday",3
Hasan_Minhaj,That kid won’t choke on camera. He’s been slapped on camera.,3
Hasan_Minhaj,"“People say, ‘Where does that come from?’ Look at this kid’s parents. Your son just won the Scripps National Spelling Bee. Look at his brother. His brother is like, ‘I’m fucked. I’m fucked. The bar is way too high. I should kill myself.’",3
Hasan_Minhaj,"That kid won $30,000 cash. Nothing.",3
Hasan_Minhaj,Are you fucking kidding? Thirteen episodes for this kid? Are you kidding me?,4
Hasan_Minhaj,"That kid won $30,000 cash. Nothing. People ask, “Where does that come from?” Look at his parents. Your son just won the Scripps National Spelling Bee. Look at his brother. His brother is like, “I’m fucked. I’m fucked. The bar is way too high. I should kill myself.” People say, “Where’s Bobby Jindal from?",4
Hasan_Minhaj,Are you fucking kidding? Thirteen episodes for this kid? Are you kidding me? Do you know when br0wn kids get slapped?,5
Hasan_Minhaj,"That kid won't choke on camera. He's been slapped on camera.Of course he can spell ""knaidel"".Knaidel.Look at that face. Nothing. Nothing! He's 12 years old. Nothing!",5
Hasan_Minhaj,"Ah, Biju got slapped on his birthday!",6
Hasan_Minhaj,That kid won't choke on camera. He's been slapped on camera.,6
Hasan_Minhaj,Look at that face. Nothing. Nothing!,6
Hasan_Minhaj,"People say, 'Where does that come from?' Look at this kid's parents. Your son just won the Scripps National Spelling Bee.",6
Hasan_Minhaj,That's an Indian sociopath,6
Hasan_Minhaj,This is a real show about a white kid that gets slapped at a birthday party.,7
Hasan_Minhaj,That's why we become cardiologists and win spelling bees.,7
Hasan_Minhaj,Slapping is important. It elevates your game.,7
Hasan_Minhaj,Look at that face. Nothing. Nothing!,7
Hasan_Minhaj,Thirteen episodes for this kid? Are you kidding me?,8
Hasan_Minhaj,Slapping is important. It elevates your game.,8
Hasan_Minhaj,"That kid won the Scripps National Spelling Bee. Look at his brother. His brother is like, 'I'm fucked. I'm fucked. The bar is way too high. I should kill myself.",8
Hasan_Minhaj,"People ask, 'Where does that come from?' Look at this kid's parents. Your son just won the Scripps National Spelling Bee. Look at his brother. His brother is like, 'I'm fucked.",8
Hasan_Minhaj,"Ah, Biju got slapped on his birthday!",9
Hasan_Minhaj,Ice water in the veins. [laughter],9
Hasan_Minhaj,That kid won't choke on camera. He's been slapped on camera.Of course he can spell “knaidel”.Knaidel.Look at that face. Nothing. Nothing!,9
Hasan_Minhaj,"People say, “Where does that come from?” Look at this kid's parents. Your son just won the Scripps National Spelling Bee. Look at his brother. His brother is like, “I'm fucked. I'm fucked.",9
Hasan_Minhaj,Thirteen episodes for this kid? Are you kidding me?,10
