comedian,sentence,gemma,gemma2,llama,phi,chatgpt,claude,deepseek
Joe_List,Whatever you guys are calling it.,0,0,0,0,1,0,0
Joe_List,"My ears are ringing.""",0,0,0,0,1,0,0
Joe_List,"And then he said, ""Okay, I'm gonna test your hearing.""",0,0,0,0,1,0,0
Joe_List,"And I was like, ""Oh no, that's okay.",0,0,0,0,1,0,0
Joe_List,"My hearing is great. I hear everything, plus ringing, so.",0,0,0,0,1,1,1
Joe_List,"I kind of have superpower hearing, if you think about it.",0,0,0,0,1,1,1
Joe_List,I'm hearing shit that's not even in the room.,1,0,0,0,1,1,1
John_Mulaney,I don't mean to sound down on donating.,0,0,0,1,0,0,0
John_Mulaney,"[chuckles] It's good to give to charities, you know.",1,0,0,1,0,0,0
John_Mulaney,My wife and I just gave a bunch of stuff to Goodwill.,0,0,0,0,0,0,0
John_Mulaney,"We were moving apartments, we had a bunch of clothes and furniture, so we made a whole day out of it.",0,0,0,0,0,0,0
John_Mulaney,"We made these big piles of clothes, we put the piles into these big boxes, then we put the boxes into the back of my car, and then they stayed there for four months.",0,1,0,1,1,0,1
John_Mulaney,"And then one day my wife said, ""Hey, you took that stuff to Goodwill, right?""",0,1,0,1,1,1,1
John_Mulaney,"And I said, ""Of course I did!",0,1,1,1,1,1,1
John_Mulaney,"On an unrelated note, I'm going to walk out the front door right now.""",0,1,1,1,1,1,1
John_Mulaney,So then I had to speed to Goodwill really fast.,0,0,0,0,0,0,0
John_Mulaney,"It was charitable, but it was also fast and violent, because I was throwing boxes at people.",0,1,0,0,1,1,1
John_Mulaney,The boxes were so heavy I couldn't even say what was in them.,0,0,0,0,1,0,0
John_Mulaney,"I was like, ""This one's shirts.",1,0,1,0,1,0,0
John_Mulaney,I got a bunch of shirts!,1,0,1,0,1,0,0
John_Mulaney,"Take 'em away!""",1,0,1,0,1,0,0
John_Mulaney,The guy tried to give me a big receipt.,0,0,0,0,1,0,0
John_Mulaney,"He's like, ""Take this receipt for the clothing for your taxes.""",0,0,0,0,1,0,0
John_Mulaney,How do I write that on my taxes?,0,0,1,0,1,0,1
John_Mulaney,Please deduct this from my 2017 income.,0,0,1,0,1,1,1
John_Mulaney,That sleep shirt bullshit.,0,0,1,0,1,0,0
John_Mulaney,"Well, if it's too big you can just wear it as a sleep shirt.",1,0,0,0,1,0,0
John_Mulaney,"No, I get that, Mom, but why don't we just tell our relatives that I'm a four-year-old boy and I don't wear a man's XXL T-shirt?",0,0,0,0,1,0,0
John_Mulaney,Because we don't say that when someone gives us a gift because that would not be polite.,0,0,0,0,1,0,0
John_Mulaney,"Oh, I get it.",1,0,0,0,1,0,0
John_Mulaney,"So rather than violate these meaningless politeness rules, I'll just go to bed in a smock like goddamn Ebenezer Scrooge.",1,0,0,0,1,1,1
John_Mulaney,Why don't you give me a candle for looking in the mirror and a floppy hat and I'll tremble off to bed in my long Victorian nightgown?,0,0,0,0,1,1,1
John_Mulaney,"Was there ever even a ghost, Mother, or was the dead Victorian girl you saw just me all along?",0,0,0,0,1,0,1
Jimmy_Yang,"Asian people, we don't need Tinder anymore.",1,1,1,1,1,1,1
Jimmy_Yang,We just go to BTS concerts.,1,1,1,1,1,1,1
Jimmy_Yang,That's how we do that parking lot pimping.,1,1,1,1,1,1,1
Jimmy_Yang,"I've been dating a lot of tall girls lately, because it makes me look successful.",0,1,0,1,1,1,1
Jimmy_Yang,"No, no.",0,0,0,1,1,0,0
Jimmy_Yang,I think tall women are beautiful.,0,0,1,1,1,0,0
Jimmy_Yang,But some of them like to wear heels.,0,1,1,1,1,0,0
Jimmy_Yang,That's just disrespect.,0,1,1,1,1,0,0
Jimmy_Yang,"Like, you're already five inches taller than me.",0,1,0,1,1,0,0
Jimmy_Yang,Why the fuck are you wearing heels?,0,1,0,1,1,1,0
Jimmy_Yang,"She's like, it makes my ass look better.",0,1,0,0,1,1,1
Jimmy_Yang,"I'm like, your ass is at my eye level right now.",0,1,1,0,1,1,1
Jimmy_Yang,"Neither of us look good, OK?",0,0,1,0,1,1,1
Jimmy_Yang,"I look like a child, and you look like a child molester.",0,0,1,0,1,1,1
Jimmy_Yang,"Last time- the last time I took a tall girl to this concert- I don't know if you guys know this, but apparently, tall people have fun at concerts.",0,0,1,0,1,0,0
Jimmy_Yang,Are you guys aware of that?,0,0,0,0,1,0,0
Jimmy_Yang,I'm 5' 5''.,1,0,1,0,1,1,1
Jimmy_Yang,I just go to concerts to smell other people's armpits.,1,0,0,0,1,1,1
Jimmy_Yang,I'm like what the fuck's the point of this?,0,0,0,0,1,0,1
Jimmy_Yang,"She was having the time of her life, doing whatever tall people do at concerts, you know, jumping around, obstructing other people's views, seeing everything.",0,0,0,0,1,0,1
Jimmy_Yang,I was frustrated.,0,0,0,0,1,0,0
Jimmy_Yang,I had enough.,0,0,0,0,1,0,0
Jimmy_Yang,"So I just looked up at her, I was like, hey!",0,0,0,0,1,0,1
Jimmy_Yang,Pick me up.,0,0,0,0,1,1,1
Jimmy_Yang,This is bullshit.,0,0,0,0,1,1,1
Jimmy_Yang,"I paid for these tickets, OK?",0,0,0,0,1,1,1
Jimmy_Yang,"I want to see Billy Eilish, too.",0,0,0,0,1,1,1
Jimmy_Yang,Come on.,0,0,0,0,1,1,1
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",1,0,0,1,0,0,0
Anthony_Jeselnik,"When I was a kid, we were poor.",0,0,0,1,0,0,0
Anthony_Jeselnik,"So poor I remember, just so I could go to my senior prom, just so I could go to my senior prom, I had to sell my U.S. passport on the street.",0,0,0,1,1,1,1
Anthony_Jeselnik,Sold my passport on the street for 300 bucks to get to go to my prom.,0,1,1,1,1,0,1
Anthony_Jeselnik,"Of course this was before 9/11 so... my bad, everybody.",0,0,1,1,1,1,1
Anthony_Jeselnik,"Weird joke to clap for, but sure.",0,1,0,0,1,0,1
Anthony_Jeselnik,My mom actually should've been on one of the planes that crashed on 9/11.,1,1,1,0,1,1,1
Anthony_Jeselnik,"I think.I mean, don't get me wrong, I loved my mother.",0,0,0,0,0,0,0
Anthony_Jeselnik,"She was my mom, of course I loved her.",0,0,0,0,0,0,0
Anthony_Jeselnik,We fought a lot.,0,0,0,0,0,0,0
Anthony_Jeselnik,My mom could be very racist.,0,0,1,0,1,1,0
Anthony_Jeselnik,Very racist.,0,0,1,0,1,1,0
Anthony_Jeselnik,And I do not tolerate racism.,0,1,1,0,1,1,0
Anthony_Jeselnik,That's ignorance and I hate that.,0,1,0,0,1,1,0
Anthony_Jeselnik,"When I was a kid, like nine years old, I'd come home after school.",1,0,0,0,0,0,0
Anthony_Jeselnik,"Once in a while, I'd bring a friend over to play with me at my house.",1,0,0,0,0,0,0
Anthony_Jeselnik,"Once in a while, I'd bring a black friend over.",1,0,0,0,1,0,1
Anthony_Jeselnik,"And when I did that, my mom would act weird.",1,0,0,0,1,0,1
Anthony_Jeselnik,"She'd pull me aside and say, ""Anthony, who's your new friend? Is he a drug dealer?""",1,0,0,0,1,1,1
Anthony_Jeselnik,"And I would say, ""Shut up, Mom, that's racist. Put your money away.",0,1,0,0,1,1,1
Anthony_Jeselnik,"I never get to see my family anymore, really.",0,0,0,0,0,0,0
Anthony_Jeselnik,"Most of them are in jail, to be honest. ",0,1,0,0,1,1,1
Anthony_Jeselnik,"And we never talk, write letters or any of that shit.",0,0,0,0,1,1,1
Anthony_Jeselnik,Cause they're all in jail for the exact same thing. My testimony.,0,0,0,0,1,1,1
Ali_Wong,"The last time I was at home in San Francisco, I was trying to help her get rid of shit.",0,0,0,0,1,0,0
Ali_Wong,Don't ever do that with your mom.,0,1,1,0,1,1,0
Ali_Wong,It was like the worst experience of my life.,1,0,1,1,1,1,0
Ali_Wong,It was so emotional.,1,1,1,1,1,0,0
Ali_Wong,We were screaming and fighting and yelling and it all came to a climax when she refused to let go of a Texas Instruments TI-82... manual.,0,1,0,1,1,1,1
Ali_Wong,The manual.,0,0,0,0,1,1,1
Ali_Wong,She don't even know... where the calculator is.,0,1,1,1,1,1,1
Ali_Wong,Those of you under 25 probably don't know what that calculator is.,1,0,1,0,1,0,0
Ali_Wong,It was this calculator that bamboozled my generation.,0,1,1,0,1,1,1
Ali_Wong,We were all required to buy it when we were in eight grade.,0,1,1,0,1,0,1
Ali_Wong,It cost like $200.,0,1,1,0,1,0,1
Ali_Wong,And everybody thought it was like this Judy Jetson's laptop from the future.,0,0,1,1,1,0,1
Ali_Wong,All because what?,0,0,0,0,1,0,1
Ali_Wong,It could graph.,0,1,0,0,1,0,1
Ali_Wong,It was like the Tesla of my time.,1,1,0,0,1,1,0
Ali_Wong,"And my mom got so emotional about the manual and she was like, ""You never know when you might need this.""",0,0,0,0,1,1,1
Ali_Wong,"And I was like, ""But... I do know... that I'm gonna have to clean all this shit up when you die.""",0,0,0,0,1,1,1
Ali_Wong,And I'm not trying to be a procrastinator anymore.,1,0,0,1,1,1,1
Ali_Wong,"Because according to Deepak-Oprah, that's not the way for me to achieve my optimum level of success.",1,0,0,0,1,1,1
Hasan_Minhaj,Have you seen the show called The Slap?,0,0,0,1,1,0,1
Hasan_Minhaj,This is a real show on NBC.,0,0,0,1,1,0,1
Hasan_Minhaj,This is a real show about a white kid that gets slapped at a birthday party.,0,0,0,1,1,0,1
Hasan_Minhaj,Are you fucking kidding?,0,1,0,1,1,0,1
Hasan_Minhaj,Thirteen episodes for this kid?,0,1,1,1,1,0,1
Hasan_Minhaj,Are you kidding me?,0,0,1,1,1,0,1
Hasan_Minhaj,Do you know when br0wn kids get slapped?,0,1,0,1,1,1,1
Hasan_Minhaj,Every br0wn birthday party.,0,1,0,1,1,1,1
Hasan_Minhaj,"And usually it's the kid whose birthday it is, and we stand there and point and laugh.",0,1,0,1,1,1,1
Hasan_Minhaj,"We go, ""Ah, Biju got slapped on his birthday!""",1,1,1,0,1,1,1
Hasan_Minhaj,And that's what makes us tough and resilient.,0,0,1,0,1,1,1
Hasan_Minhaj,It's why we become cardiologists and win spelling bees.,0,1,0,0,1,1,1
Hasan_Minhaj,Slapping is important.,0,0,1,0,1,0,1
Hasan_Minhaj,It elevates your game.You ever seen an Indian kid win a spelling bee?,0,1,1,0,1,1,1
Hasan_Minhaj,Incredible!,0,0,1,0,1,1,1
Hasan_Minhaj,Ice water in the veins.,0,0,1,0,1,1,1
Hasan_Minhaj,[laughter] That kid won't choke on camera.,1,0,0,0,1,1,1
Hasan_Minhaj,"He's been slapped on camera.Of course he can spell ""knaidel"".Knaidel.Look at that face.",1,0,1,0,1,1,1
Hasan_Minhaj,Nothing.,0,0,0,0,1,1,1
Hasan_Minhaj,Nothing!,0,0,0,0,1,1,1
Hasan_Minhaj,He's 12 years old.,0,0,0,0,1,1,1
Hasan_Minhaj,"This kid just won $30,000 cash.",0,0,0,0,1,1,1
Hasan_Minhaj,"People ask, ""Where does that come from?""",0,0,0,0,1,0,0
Hasan_Minhaj,Look at this kid's parents.,1,0,0,0,1,0,0
Hasan_Minhaj,Your son just won the Scripps National Spelling Bee.,1,0,0,0,1,0,0
Hasan_Minhaj,Look at his brother.,1,0,0,0,1,1,0
Hasan_Minhaj,"His brother is like, ""I'm fucked. I'm fucked. The bar is way too high. I should kill myself.""",1,0,0,0,1,1,1
Hasan_Minhaj,"People say, ""Where's Bobby Jindal from?""",0,0,0,0,1,0,1
Hasan_Minhaj,That's where he comes from.,1,0,0,0,1,0,1
Hasan_Minhaj,That is an Indian sociopath.,1,0,0,0,1,1,0
