comedian,sentence,race
Tom_Segura_2,"I think it’s a taste of power. Like most of us, we have no power in our everyday lives",none
Tom_Segura_2,"You are lord of the elevator shaft. You get to decide, like a king with his drawbridge.",none
Tom_Segura_2,"And you can watch people walk up and be like, “Mm-mm.” -And you hit that.",none
Anthony_Jeselnik_3,"Just to teach me an important lesson about brand loyalty.""",none
Anthony_Jeselnik_3,I learned a lot from my parents. Especially my dad.,none
Anthony_Jeselnik_3,Beat the hell out of me.,none
Anthony_Jeselnik_3,Let her take the hit.,none
Anthony_Jeselnik_3,You don’t take classes. You don’t read the instructions. You just do it and figure it out.,none
Anthony_Jeselnik_3,"No, my dad would pick me up and throw me in the water to teach himself CPR.",none
Ali_Wong_3,You go to any hipster neighborhood in a major city in America and that shit is turning into a Yoko Ono factory.,none
Ali_Wong_3,It’s… too much. I don’t know what’s wrong with these bitches.,none
Ali_Wong_3,"You feel very… You feel very picturesque when you’re with a white dude, you know. You feel like you’re in a Wes Anderson movie or something.",none
Ali_Wong_3,"And you know, white dudes, they teach you about a lot of cool stuff like voting and recycling, and disturbing documentaries.",none
Chelsea_Peretti_3,My dick hurts.,none
Chelsea_Peretti_3,But this could sustain my spirit for two weeks!,none
Chelsea_Peretti_3,"What’s up, Jew-fro?! You Jew-ass bitch! Jew, Jew, Jew, bitch, Jew, bitch, Jew.",none
Chelsea_Peretti_3,"Oh, I’m not gonna do science anymore. It’s too hurtful.",none
Donald_Glover_3,"Oh man, I wish I could say that stuff. It sounds so cool when you say it in rap songs. Like, I want to say that, it sounds cool.",none
Donald_Glover_3,"it doesn’t really, like, do anything… it’s not that great, you know?",none
Donald_Glover_3,"I’m sorry, but are there any terms or phrases in your act “that don’t exist in sign language that I have to make up on the spot?",none
Donald_Glover_3,Yeah. Niglet?,none
Donald_Glover_3,Oh.,none
Hasan_Minhaj_3,You’re going to die. Laugh. Why aren’t you laughing? You’re always stressed and always tired.,none
Hasan_Minhaj_3,"You could wake up any immigrant father from a 12-hour nap, and they’d say… [angry yawn] “Why do I have to pay taxes?”",none
Hasan_Minhaj_3,"Ah, yogurt.” Or milk. Just like, “Ah.” And I’d look at him and be like, “Oh, man. Dad hates yogurt. He hates milk.”",none
Iliza_Shlesinger_3,"We’re judging your hair, your shoes, we scan you, like Predator",none
Iliza_Shlesinger_3,"Scanning for physical abnormalities. Is he balding Is that a goatee Is his shirt unbuttoned too low for his ethnicity? Is he wearing embroidered jeans? If so, is he a European male or just someone from Arizona?",none
Iliza_Shlesinger_3,We aren’t looking to see if you’re the hottest guy ever. Nay. We are merely assessing if you’re 50% attractive enough that we want to put the effort into putting ourselves in your orbit.,none
John_Mulaney_3,"No, I wish!",none
John_Mulaney_3,Jesus Christ!,none
John_Mulaney_3,Do you want a Best Buy Rewards card?,none
John_Mulaney_3,No.,none
John_Mulaney_3,You’ll see! One day I’m going to leave you and I’m going to get that Best Buy Rewards card.,none
John_Mulaney_3,"Jesus Christ, you’re never going to get that Best Buy Rewards card!",none
Jim_Gaffigan_3,You’re so much taller in person. Can we do a selfie?,none
Jim_Gaffigan_3,That guy looks like Phillip Seymour Hoffman.,none
Jim_Gaffigan_3,"Do you have anything stronger? Like a bear gun? \'Cause I don\'t think this bear\'s approaching to get his hair done.""",none
Joe_List_3,"I didn’t go to college or anything, but I know how to do therapy. I’ve been going long enough.",none
Joe_List_3,"Whatever you’re dealing with, it’s because of your family. Look no further, than your own family.",none
Joe_List_3,He nailed it. These are the worst people I’ve ever met in my life. I don’t know how I didn’t see this earlier.,none
Joe_List_3,"My biggest fear, is that when I go to the bathroom, they’ll be a man, hiding behind the shower curtain waiting'",none
Jimmy_Yang_3,"What do you want, a fortune cookie?",none
Jimmy_Yang_3,"Like, wha–? Like, what do you want? She acted like she just unlocked a new character on Street Fighter or some shit.",none
Jimmy_Yang_3,"bitch, you understand you just insulted my entire race of people?",none
Jimmy_Yang_3,"You’re the real MVP. You get two fortune cookies tonight, miss. Thank you.",none
Jimmy_Yang_3,Everybody should have average dick until proven guilty.,none
Jimmy_Yang_3,"Everybody should start at average dick, 8 inches. And we go from there.",none
Louis_CK_3,"No, she’s very expensive. Please don’t touch her.""",none
Louis_CK_3,"I rescued a dog last year, and it bit everyone in my life, so I un-rescued it, and I bought a dog that works.",none
Louis_CK_3,"I hate New York, I really do — I used to love New York, but I hate it now, I really — I’d rather be in Auschwitz than in New York City. Honestly, I would.",none
Louis_CK_3,"I mean Auschwitz now. I mean, today Auschwitz. Not back when it was open.",none
Nate_Bargatze_3,Looks like it’s home and away That’s how many jerseys are in there.,none
Nate_Bargatze_3,"Guys are drinking beers in the church. Like, that’s something I’ve never heard, a pastor be like, “Guys, can we not drink alcohol in the church?” They’re like, “Oh, I didn’t know this was the nice part of town. All right.”",none
Nate_Bargatze_3,The horse was the oldest horse I’ve ever seen. I thought it was a donkey. I thought they got a deal on a donkey,none
Nate_Bargatze_TK_3,"I didn’t know that there was a rule in play. I thought you felt it out, you know, and just go, “That feels right,” and that’s what you do.",none
Nate_Bargatze_TK_3,"I’ve never known where a comma’s supposed to go. If I feel a comma’s coming, I try to get out of that sentence so bad.",none
Nate_Bargatze_TK_3,"I remember nothing from school. People talk about history to me, I’m like, “I don’t know when you guys learned that. I think we skipped all of this'",none
Russell_Peters_3,And candy fell out of her.,none
Russell_Peters_3,He’s going to be able to engineer the wall. And hop it.,none
Russell_Peters_3,He’s going to steal your laptop and fix it. It’s going to be an amazing thing to see.,none
Russell_Peters_3,"Man, you did all this shit young. That’s crazy. I mean, that’s great. I did it way too late.",none
Russell_Peters_3,"When my son starts walking, we’re going to be walking the same way.",none
Sam_Morill_3,everything turns into slavery or the Holocaust in every conversation,none
Sam_Morill_3,we don’t know how hilarious Hitler would have been on social media. That’s not fair.,none
Sam_Morill_3,"Hitler might have had a strong Twitter presence. Trapped in bunker, sad. Adolf’s trending.",none
Sam_Morill_3,"Just said fun facts about Hitler, which I think is a great title. I’ve always said there aren’t enough upbeat pieces on the Fuhrer.",none
Sam_Morill_3,"Fun fact about Hitler, didn’t pay income tax, was very bad at managing his money,",none
Trevor_Noah_3,"It’s less of a command and more of a suggestion. It’s not “Stop!” It’s “Stop?” It’s almost like an African traveled the world, saw that other people have traffic lights and then just brought them back, but didn’t know what they were for.",none
Trevor_Noah_3,"Guys, guys, guys. We need to get traffic lights. Ah?",none
Trevor_Noah_3,"It’s for the intersection. It adds atmosphere.""",none
Trevor_Noah_3,"We don’t care about the lights, and we don’t trust the lights.",none
Tom_Segura_3,Segura. Segura! Sounds Japanese.,none
Tom_Segura_3,That’s ’cause you’re saying it Japanese.,none
Tom_Segura_3,"I could be Smith, and if you want to go [in gruff voice] ‘Smith…’ -then it’s Japanese.",none
Tom_Segura_3,"Well, what are you?",none
Tom_Segura_3,It’s never important to ask that question.,none
Anthony_Jeselnik,Sold my passport on the street for 300 bucks to get to my prom,Caucasian/White
Anthony_Jeselnik,"Weird joke to clap for, but sure.",Caucasian/White
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11. I think.,Caucasian/White
Anthony_Jeselnik,"Of course this was before 9/11 so… my bad, everybody.",Caucasian/White
Anthony_Jeselnik,And I do not tolerate racism. That’s ignorance and I hate that.,Caucasian/White
Anthony_Jeselnik_2,"I asked a friend for advice. Was like, “I’ve never talked to a group of people without getting paid a lot of money. How should I handle this?”",Caucasian/White
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",Caucasian/White
Anthony_Jeselnik_2,"Now I promise you… I promise you… until you’ve heard your grandfather gasp at his own wife’s funeral… …at a Methodist Church in Vicksburg, Mississippi… you are not a",Caucasian/White
Ali_Wong,Don’t ever do that with your mom.,Caucasian/White
Ali_Wong,It was like the worst experience of my life. It was so emotional.,Caucasian/White
Ali_Wong,She refused to let go of a Texas Instruments TI-82… manual.,Caucasian/White
Ali_Wong,The manual. She don’t even know… where the calculator is.,Caucasian/White
Ali_Wong,It was this calculator that bamboozled my generation. We were all required to buy it when we were in eight grade. It cost like $2,Caucasian/White
Ali_Wong_2,"My mom is 80, going through a full blown mid-life crisis. ‘Cause she knows that she’s got a century more to go.",Caucasian/White
Ali_Wong_2,"And she is so lonely. All of her white friends, dead. Her Mexican friends, dead. Black friends, dead. I’m just kidding. She doesn’t have any black friends.",Caucasian/White
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",Caucasian/White
Ali_Wong_2,"Old Chinese ladies, they don’t give a fuck. They got no shame.",Caucasian/White
Chelsea_Peretti,"It’s like that wedding portraiture, where it’s just like, two assholes back to back in the woods, just like… [laughing shrilly] “To the future!",Caucasian/White
Chelsea_Peretti,"[giggles shrilly] “Uh-oh, it’s us again.” [trills]",Caucasian/White
Chelsea_Peretti,"She calls him by a word that I really feel is one of the more disgusting words in the English language. She calls him her “hubby,” which, to me is on par with the “N” word. Like let’s…",Caucasian/White
Chelsea_Peretti_2,People say I look just like you.,Caucasian/White
Chelsea_Peretti_2,"It’s actually to stop them from sweating, because why would you, you know, as a human?",Caucasian/White
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole",Caucasian/White
Chelsea_Peretti_2,"Is that a good trade? like, kind of a deal with the devil.",Caucasian/White
Chelsea_Peretti_2,"Oh, ho, ho, ho.""",Caucasian/White
Chelsea_Peretti_2,"She is so fucking hot. Her armpits are bone-fucking-dry… just like I always dreamed of.""",Caucasian/White
Donald_Glover,"tears streaming down his face, but he wasn’t crying. He wasn’t crying. Just tears, he was giving me this mean mug, he was like…",Caucasian/White
Donald_Glover,What’s going on with this kid?,Caucasian/White
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,Caucasian/White
Donald_Glover,the vapors from his own mouth made his eyes water.,Caucasian/White
Donald_Glover,"Like, he’d be like, “Hello!” And then like… Just, they would just bleed…",Caucasian/White
Donald_Glover_2,"Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em.” “Yes, I will. I have no problem.”",Caucasian/White
Donald_Glover_2,"Uh… Two things, lady. Number one, he’s a rapist. So his tolerance for gross stuff is probably pretty high. It’s probably pretty high.",Caucasian/White
Donald_Glover_2,"You can shit on command? Like, you can just… You can just poop whenever you want to? Just be like… Hyah! He’s like, “Oh God',",Caucasian/White
Hasan_Minhaj,"Are you fucking kidding? Thirteen episodes for this kid?""",Caucasian/White
Hasan_Minhaj,Do you know when br0wn kids get slapped? Every br0wn birthday party.,Caucasian/White
Hasan_Minhaj,"And usually it’s the kid whose birthday it is, and we stand there and point and laugh. We go, “Ah, Biju got slapped on his birthday!",Caucasian/White
Hasan_Minhaj,Slapping is important. It elevates your game.,Caucasian/White
Hasan_Minhaj,"You ever seen an Indian kid win a spelling bee? Incredible! Ice water in the veins.""",Caucasian/White
Hasan_Minhaj_2,Getting into Stanford.,Caucasian/White
Hasan_Minhaj_2,Thirty for 30? All of us?,Caucasian/White
Hasan_Minhaj_2,"Hanson, this is not funny.",Caucasian/White
Hasan_Minhaj_2,March Madness for nerds,Caucasian/White
Iliza_Shlesinger,"Granted, I’m not married yet, so, technically, I’ve only had beginnings of relationships. I don’t know. I can’t say empirically how fun being married is.",Caucasian/White
Iliza_Shlesinger,"You’re both on your best behavior, it’s still electric, you’re not totally sure about the history of mental illness in each family. It’s fun.",Caucasian/White
Iliza_Shlesinger,"‘Cause it’s ostensibly like your girlfriend audition time. You want him to come in and be, like,",Caucasian/White
Iliza_Shlesinger_2,"You don’t want to wear… what you wore during the day. Don’t want work clothes. You don’t want to wear your daytime clothes, ’cause… ’cause it’s nighttime. What if that was the end of my show? I hit my head.",Caucasian/White
Iliza_Shlesinger_2,"You don’t want to wear your civilian clothes, okay. ‘Cause you had a whole day. Maybe you sweat in them",Caucasian/White
Iliza_Shlesinger_2,"However, at the other end of the sartorial spectrum, you don’t want to go, like",Caucasian/White
Jim_Gaffigan,And suddenly I’m fat?,Caucasian/White
Jim_Gaffigan,We got nothing for you. And you can’t use our bathroom,Caucasian/White
Jim_Gaffigan,Aw. Look at you try.,Caucasian/White
Jim_Gaffigan,"The fat pig is trying, the fat pig is trying, I…",Caucasian/White
Jim_Gaffigan,I like to eat! I like to eat.,Caucasian/White
Jim_Gaffigan,"Well, you must know your way around the kitchen. I know where the food is.",Caucasian/White
Jim_Gaffigan,"Well, you must love to cook. Look, I like to sleep",Caucasian/White
Jim_Gaffigan_2,I have friends that are mentally ill.,Caucasian/White
Jim_Gaffigan_2,Didn\'t suspect a thing. Dog didn’t know it was his birthday. The dog didn’t know it had a birthday.,Caucasian/White
Jim_Gaffigan_2,"Oh, one year equals seven for doggies? Okay. When I see a dog, I’ll do math. That’s not fulfilling some dog need, you know?",Caucasian/White
Jim_Gaffigan_2,"There’s not a dog sitting in a bar right now going, “I’m not three, I’m 21! I can legally drink!”",Caucasian/White
Jim_Gaffigan_2,"There’s not a dog sitting in a bar right now going, “I’m not three, I’m 21! I can legally drink!”",Caucasian/White
Joe_List,It’s one doctor. He knows all three body parts.,Caucasian/White
Joe_List,"“Ear, nose, throat. “Who do ya need?”",Caucasian/White
Joe_List,And they all kinda.,Caucasian/White
Joe_List,"I thought it was called tinnitus, but then I watched a YouTube video, and the doctor in the video, he kept saying “tin-uh-dus.”",Caucasian/White
Joe_List,This guy’s a fake ass fucking retard doctor. It’s pronounced t-ah-n-i-tus.”,Caucasian/White
Joe_List,"Shit, now I don’t know how to say this'",Caucasian/White
Joe_List_2,"You feel better than everybody behind you, don’t you?",Caucasian/White
Joe_List_2,"What a fucking idiot back there. Embarrassing, loser.",Caucasian/White
Joe_List_2,"I wanted him to die, I swear to God.",Caucasian/White
Joe_List_2,"First of all, you don’t need to make a noise when you yawn. That’s a decision, he’s deciding to do that",Caucasian/White
Joe_List_2,"It’s like, if you were hungry on a plane, you were like, I’m hungry. Well you’re all right?",Caucasian/White
John_Mulaney,"We made these big piles of clothes, we put the piles into these big boxes, then we put the boxes into the back of my car, and then they stayed there for four months.",Caucasian/White
John_Mulaney,"And then one day my wife said, “Hey, you took that stuff to Goodwill, right?” And I said, “Of course I did! On an unrelated note, I’m going to walk out the front door right now.",Caucasian/White
John_Mulaney,"It was charitable, but it was also fast and violent, because I was throwing boxes at people.",Caucasian/White
John_Mulaney_2,The Bruno Mars of assemblies.,Caucasian/White
John_Mulaney_2,His name is ridiculous. That was his name. It was JJ Bittenbinder.,Caucasian/White
John_Mulaney_2,"Very sorry, Radio City, did that make you uncomfortable? Well, guess what? You’re adults and he’s not even here. So try being seven years old and you’re sitting five feet away from him. He’s still got",Caucasian/White
John_Mulaney_2,"He was a child homicide expert and… -[audience is silent] -Oh, gee. [audience laughing]",Caucasian/White
Jimmy_Yang,"Asian people, we don’t need Tinder anymore. We just go to BTS concerts. That’s how we do that parking lot pimping.",Caucasian/White
Jimmy_Yang,"""I’ve been dating a lot of tall girls lately, because it makes me look successful.",Caucasian/White
